ID,Type,Genre,Difficulty,Question,Answer
1,1,1,1,"(Movie/Book) What gas is used to ""turbo"" cars in The Fast and the Furious?",Nitrous Oxide
2,1,1,1,(Movie/Book)  What does John McClane write on the first terrorist he kills in Die Hard?,Ho-Ho-Ho
3,1,1,1,"Who saves Grant, Ellie, and Hammond's grandchildren when they are cornered by Velociraptors at the end of Jurassic Park?",T-Rex
4,1,1,2,"What kind of ""muttations"" do the Gamemakers release to intensify the final moments of The Hunger Games?",Wolf mutts
5,1,1,2,What is the only martial arts film to be nominated for an Academy Award for Best Picture?,"Crouching Tiger, Hiden Dragon"
6,1,1,2,How does Major William Cage die (the first time) in Edge of Tomorrow?,Alien blood dissolves him
7,1,1,2,"In Colombiana, what ""signature"" does Cataleya leave behind after each of her assassinations?",A flower
8,1,1,3,How many people does John Wick kill in John Wick?,77 people
9,1,1,3,How old is the ruthless vigilante Hit-Girl in Kick-Ass (2010)?,11 years old
10,1,1,3,Which James Bond film marked Judi Dench's first appearance as M?,Golden Eye
11,1,2,1,South Park takes place in which state?,Colorado
12,1,2,1,How many people did Annalise Keating kill on How to Get Away With Murder?,0
13,1,2,1,Jennifer Garner and Bradley Cooper got their big breaks in which TV show?,Alias
14,1,2,2,What does Michael Scott eat for lunch on The Office that makes him fall asleep?,A whole chicken pot pie
15,1,2,2,Prosecutors complained about which TV show influencing real-life juries?,CSI: Crime Scene Invesigation
16,1,2,2,Which Game of Thrones star was nominated for an Emmy for every single season?,Peter Dinklage
17,1,2,2,What TV show invented the rerun to allow its star time to recover during and after pregnancy?,I love lucy
18,1,2,3,For how many total years did Ed Asner play Lou Grant?,12
19,1,2,3,Which character in The Wonder Years is killed in the Vietnam War?,"Winnie Cooper's older brother, Brian"
20,1,2,3,What was the very first African American two-parent familysitcom?,Good Times
21,1,3,1,What is the name of the dog who features in Jack London's 1903 novella The Call of the Wild?,Buck
22,1,3,1,"At the start of Robert Louis Stevenson's novel Treasure Island, who is given the dreaded 'Black Spot'?",Billy Bones
23,1,3,1,"In the Erskine Childers novel The Riddle of the Sands, what is the name of the English salvage operator?",Dollman
24,1,3,2,Which 1841 novel by Frederick Marryat opens on board the ship the Pacific bound for Cape Horn?,Masterman Ready
25,1,3,2,"In P C Wren's 1924 novel Beau Geste, what is the real first name of the title character?",Michael
26,1,3,2,R D Blackmore's novel Lorna Doone is set in which area of England?,Exmoor
27,1,3,2,What exactly is The Green Ray in the title of Jules Verne's 1882 novel?,An optical phenomenon
28,1,3,3,What is the title of Alistair MacLean's sequel to his 1957 novel The Guns of Navarone?,Force 10 From Navarone
29,1,3,3,Who is the narrator of R M Ballantyne's 1857 novel The Coral Island?,Ralph Rover
30,1,3,3,"In Daniel Defoe's Robinson Crusoe, the title character sets sail from which English port?",Hull
31,1,4,1,What is the final boss in Minecraft?,The Ender Dragon
32,1,4,1,How many players are involved in a ‘Fortnite’ battle?,100
33,1,4,1,What is the name of the main character in Minecraft?,Steve
34,1,4,2,Which character has the best default driving skills in GTA 5?,Franklin
